index,translation,present,past,past_participle,present_continuous
0,是,is/am,was,been,being
1,是,are,were,been,being
2,變成,become,became,become,becoming
3,開始,begin,began,begun,beginning
4,咬,bite,bit,bitten,biting
5,吹,blow,blew,blown,blowing
6,打破,break,broke,broken,breaking
7,攜帶,bring,brought,brought,bringing
8,建築,build,built,built,building
9,燃燒,burn,burned/burnt,burned/burnt,burning
10,買,buy,bought,bought,buying
11,捉,catch,caught,caught,catching
12,選擇,choose,chose,chosen,choosing
13,來,come,came,come,coming
14,花費,cost,cost,cost,costing
15,切,cut,cut,cut,cutting
16,掘,dig,dug,dug,digging
17,做,do,did,done,doing
18,畫,draw,drew,drawn,drawing
19,飲,drink,drank,drunk,drinking
20,鴐駛,drive,drove,driven,driving
21,吃,eat,ate,eaten,eating
22,跌倒,fall,fell,fallen,falling
23,餵,feed,fed,fed,feeding
24,感到,feel,felt,felt,feeling
25,打架,fight,fought,fought,fighting
26,找尋,find,found,found,finding
27,飛,fly,flew,flown,flying
28,忘記,forget,forgot,forgotten,forgetting
29,獲得,get,got,got/gotten,getting
30,給,give,gave,given,giving
31,去,go,went,gone,going
32,生長,grow,grew,grown,growing
33,有,have/has,had,had,having
34,聽見,hear,heard,heard,hearing
35,躲藏,hide,hid,hidden,hiding
36,打,hit,hit,hit,hitting
37,握著,hold,held,held,holding
38,傷害,hurt,hurt,hurt,hurting
39,保存,keep,kept,kept,keeping
40,知道,know,knew,known,-------
41,領導,lead,led,led,leading
42,學習,learn,learned/learnt,learned/learnt,learning
43,離開,leave,left,left,leaving
44,讓,let,let,let,letting
45,失去,lose,lost,lost,losing
46,製造,make,made,made,making
47,意思,mean,meant,meant,meaning
48,遇見,meet,met,met,meeting
49,支付,pay,paid,paid,paying
50,放,put,put,put,putting
51,閱讀,read,read,read,reading
52,上升,rise,rose,risen,rising
53,跑,run,ran,run,running
54,賣,sell,sold,sold,selling
55,寄,send,sent,sent,sending
56,安裝,set,set,set,setting
57,搖,shake,shook,shaken,shaking
58,發光,shine,shone,shone,shining
59,射擊,shoot,shot,shot,shooting
60,展示,show,showed,shown,showing
61,關閉,shut,shut,shut,shutting
62,唱歌,sing,sang,sung,singing
63,下沉,sink,sank,sunk,sinking
64,坐,sit,sat,sat,sitting
65,睡覺,sleep,slept,slept,sleeping
66,聞,smell,smelled/smelt,smelled/smelt,smelling
67,說話,speak,spoke,spoken,speaking
68,拼字,spell,spelled/spelt,spelled/spelt,spelling
69,花費,spend,spent,spent,spending
70,傳播,spread,spread,spread,spreading
71,彈起,spring,sprang,sprung,springing
72,站立,stand,stood,stood,standing
73,偷,steal,stole,stolen,stealing
74,黏貼,stick,stuck,stuck,sticking
75,擊,strike,struck,struck,striking
76,掃,sweep,swept,swept,sweeping
77,游泳,swim,swam,swum,swimming
78,搖擺,swing,swang/swung,swung,swinging
79,取,take,took,taken,taking
80,教導,teach,taught,taught,teaching
81,告訴,tell,told,told,telling
82,思考,think,thought,thought,thinking
83,拋,throw,threw,thrown,throwing
84,理解,understand,understood,understood,-------
85,解開,undo,undid,undone,undoing
86,醒來,wake,woke,woken,waking
87,穿著,wear,wore,worn,wearing
88,哭泣,weep,wept,wept,weeping
89,獲勝,win,won,won,winning
90,書寫,write,wrote,written,writing
